No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
204,170 microns (ISO),77.1,+/-6.7,Jy,1.76E12,77.1,6.7,6.7,,,+/-6.70E+00,Jy,2008ApJS..178..280B,uncertainty,170 microns,Broad-band measurement,15 34 57.34 +23 30 11.9 (J2000),Flux integrated from map,,From new raw data
205,170 microns (ISO),71.4,+/-0.10,Jy,1.72E12,71.4,0.1,0.1,,,+/-1.00E-01,Jy,2002ApJ...572..105S,1 sigma uncert.,174.0      microns,Broad-band measurement,,From fitting to map,,From new raw data
206,180 microns (ISO),41.1,+/-0.100,Jy,1.62E12,41.1,0.1,0.1,,,+/-1.00E-01,Jy,2002ApJ...572..105S,1 sigma uncert.,185.5      microns,Broad-band measurement,,From fitting to map,,From new raw data
207,180 microns (ISO),63.95,+/-30  %,Jy,1.62E12,64.0,19.2,19.2,,,+/-1.92E+01,Jy,2001A&A...379..823K,uncertainty,180        microns,Broad-band measurement,,Flux integrated from map,"Aperture 184"" x 184""",From new raw data
209,200 microns (ISO),31.2,+/-0.30,Jy,1.47E12,31.2,0.3,0.3,,,+/-3.00E-01,Jy,2002ApJ...572..105S,1 sigma uncert.,204.6      microns,Broad-band measurement,,From fitting to map,,From new raw data
210,200 microns (ISO),54.81,+/-30  %,Jy,1.47E12,54.8,16.4,16.4,,,+/-1.64E+01,Jy,2001A&A...379..823K,uncertainty,200        microns,Broad-band measurement,,Flux integrated from map,"Aperture 184"" x 184""",From new raw data
213,250 microns (SPIRE),30.1,+/-1.5,Jy,1.2E12,30.1,1.5,1.5,,,+/-1.50E+00,Jy,2011ApJ...743...94R,uncertainty,250 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
214,250 microns (BLAST),24.2,,Jy,1.2E12,24.2,,,,,,Jy,2008ApJ...681..415T,no uncertainty reported,250 microns,Broad-band measurement,15 34 57.21 +23 30 09.5 (J2000),Modelled datum,,Averaged from previously published data
217,350 microns,9.74,+/-0.34,Jy,8.57E11,9.74,0.34,0.34,,,+/-3.40E-01,Jy,1999CIT...T00R....B,1 sigma,350        microns,Broad-band measurement,,Flux integrated from map,,From new raw data
218,350 microns (SPIRE),11.7,+/-0.6,Jy,8.57E11,11.7,0.6,0.6,,,+/-6.00E-01,Jy,2011ApJ...743...94R,uncertainty,350 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
219,350 microns (BLAST),9.8,,Jy,8.57E11,9.8,,,,,,Jy,2008ApJ...681..415T,no uncertainty reported,350 microns,Broad-band measurement,15 34 57.21 +23 30 09.5 (J2000),Modelled datum,,Averaged from previously published data
220,350 microns,11.7,+/-1.0,Jy,8.57E11,11.7,1.0,1.0,,,+/-1.00E+00,Jy,1996MNRAS.278.1049R,based on count statistics only,350        microns,Broad-band measurement,153457.22 +233011.40 (J2000),Flux in fixed aperture,"8"" FWHP",From new raw data
